epoch,train_loss,val_loss
1,3.9798,2.5393
2,2.262,1.5559
3,1.5695,1.3186
4,1.348,1.254
5,1.2649,1.2157
6,1.2163,1.1799
7,1.1692,1.138
8,1.1222,1.1034
9,1.0888,1.0763
10,1.0545,1.025
11,0.9918,0.9603
12,0.9461,0.9486
13,0.9321,0.944
14,0.9236,0.9381
15,0.9187,0.9346
16,0.9139,0.9304
17,0.9104,0.9254
18,0.9062,0.9217
19,0.9029,0.9181
20,0.8991,0.9142
21,0.8963,0.9097
22,0.8931,0.9063
23,0.8893,0.9031
24,0.8871,0.9008
25,0.8843,0.8978
26,0.8822,0.8965
27,0.8807,0.8942
28,0.8785,0.8929
29,0.8773,0.8916
30,0.8758,0.8906
31,0.8745,0.8882
32,0.8733,0.8882
33,0.8733,0.8868
34,0.8717,0.8854
35,0.8706,0.8839
36,0.8697,0.8844
37,0.8703,0.8828
38,0.8683,0.8815
39,0.8677,0.8804
40,0.8669,0.8796
41,0.8663,0.8787
42,0.8657,0.8779
43,0.8657,0.8779
44,0.8649,0.877
45,0.8641,0.8755
46,0.8638,0.8753
47,0.863,0.8743
48,0.8628,0.8748
49,0.8631,0.8731
50,0.862,0.8724
51,0.8616,0.8721
52,0.8609,0.8711
53,0.8604,0.8709
54,0.8607,0.8719
55,0.8601,0.8698
56,0.8597,0.8691
57,0.8607,0.8698
58,0.8594,0.8688
59,0.8586,0.8676
60,0.8584,0.8672
