epoch,train_loss,val_loss
1,4.2052,2.8677
2,2.559,1.763
3,1.7833,1.3459
4,1.4248,1.1603
5,1.2394,1.0923
6,1.1472,1.064
7,1.0967,1.0478
8,1.0635,1.0279
9,1.036,1.012
10,1.0149,1.002
11,0.9984,0.9945
12,0.9869,0.9863
13,0.9766,0.9826
14,0.9693,0.9765
15,0.964,0.974
16,0.9577,0.9691
17,0.9524,0.9658
18,0.949,0.9628
19,0.9456,0.9589
20,0.9422,0.9566
21,0.9393,0.954
22,0.9367,0.9514
23,0.9346,0.9483
24,0.9318,0.9461
25,0.9298,0.944
26,0.9281,0.942
27,0.9258,0.9407
28,0.924,0.9379
29,0.9208,0.9312
30,0.9152,0.9253
31,0.9076,0.9108
32,0.8976,0.9073
33,0.8924,0.905
34,0.8895,0.9032
35,0.888,0.902
36,0.8862,0.9014
37,0.8854,0.8995
38,0.8834,0.8977
39,0.8826,0.8963
40,0.8816,0.8951
41,0.8804,0.8934
42,0.8793,0.8924
43,0.8792,0.8929
44,0.8779,0.8903
45,0.8773,0.8892
46,0.8764,0.8886
47,0.8756,0.8875
48,0.8748,0.8866
49,0.8744,0.8866
50,0.8738,0.8847
51,0.8733,0.8853
52,0.8724,0.8832
53,0.8726,0.8829
54,0.8714,0.882
55,0.8705,0.8812
56,0.8703,0.8807
57,0.8699,0.8802
58,0.8697,0.8798
59,0.869,0.879
60,0.8686,0.8785
